Receipt Index,Date,Name,Price,Currency,Exchange Rate,Price (Exchanged),Category Name,Category Code,Comment,Payment Method
1,12/01/20,Beginning Balance,83785.82,MZN,1,83785.82,BF - Deposit,BF - DEP,Beginning Balance ,Base Savings Spending
2,12/01/20,Gindolo,-2445.00,MZN,1,-2445.00,BF - Building Supplies,BF - BLDG,Screws and wood glue Smethurst veranda railings ,Base Savings Spending
3,12/26/20,Gindolo,-6335.00,MZN,1,-6335.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,"Varnish, Thinner, Sanding discs and turpentine Smethurst veranda furniture ",Base Savings Spending
4,12/29/20,EDM,-2000.00,MZN,1,-2000.00,BF - Utilities,BF - UTL,Electricity ,Base Savings Spending
5,12/30/20,Ramo Comercial,-625.00,MZN,1,-625.00,BF - Repairs & Maintenance (Bldg),BF - BLDGREP,Flexi-pipe and wall fitting ,Base Savings Spending
6,12/31/20,Close out December,-72380.82,MZN,1,-72380.82,BF - Deposit,BF - DEP,Close out December ,Base Savings Spending

 
